val_loss,eff,pur,current_lr,epoch,step,train_loss
0.009940755553543568,0.45222145318984985,0.005515053402632475,0.00012500002048909664,0,79,
,,,,0,79,0.0110889608040452
0.009884272702038288,0.7073175311088562,0.00862604845315218,0.0002500000409781933,1,159,
,,,,1,159,0.009957747533917427
0.00986754521727562,0.7620369791984558,0.009293352253735065,0.00037499997415579855,2,239,
,,,,2,239,0.009864767082035542
0.009848508052527905,0.8207038044929504,0.010008735582232475,0.00034999995841644704,3,319,
,,,,3,319,0.009822607971727848
0.009830725379288197,0.8491977453231812,0.010356206446886063,0.0006249999860301614,4,399,
,,,,4,399,0.009792848490178585
0.009812649339437485,0.8769038319587708,0.010694081895053387,0.0007499999483115971,5,479,
,,,,5,479,0.009777362458407879
0.00979792419821024,0.892352283000946,0.010882461443543434,0.0008750000852160156,6,559,
,,,,6,559,0.009765859693288803
0.00978002417832613,0.91004478931427,0.011098232120275497,0.0006999999168328941,7,639,
,,,,7,639,0.00975680910050869
0.00972380768507719,0.8953004479408264,0.010918398387730122,0.0006999999168328941,8,719,
,,,,8,719,0.009712734259665012
0.00954151339828968,0.9390530586242676,0.01146253477782011,0.0006999999168328941,9,799,
,,,,9,799,0.009704604744911194
0.009033435955643654,0.9012134671211243,0.011672822758555412,0.0006999999168328941,10,879,
,,,,10,879,0.009687843732535839
0.008828256279230118,0.9706667065620422,0.012751339934766293,0.0004900000640191138,11,959,
,,,,11,959,0.009701494127511978
0.004458459559828043,0.9712685942649841,0.029689529910683632,0.0004900000640191138,12,1039,
,,,,12,1039,0.00916692428290844
0.004113080911338329,0.9860157370567322,0.061154842376708984,0.0004900000640191138,13,1119,
,,,,13,1119,0.007988039404153824
0.003994854167103767,0.9807373881340027,0.09511671960353851,0.0004900000640191138,14,1199,
,,,,14,1199,0.007819226942956448
0.003946371376514435,0.9814252257347107,0.11054404079914093,0.0003429999924264848,15,1279,
,,,,15,1279,0.007771948352456093
0.003936975263059139,0.9883353114128113,0.11444169282913208,0.0003429999924264848,16,1359,
,,,,16,1359,0.007342788390815258
0.003925703465938568,0.9887862205505371,0.12305263429880142,0.0003429999924264848,17,1439,
,,,,17,1439,0.007294652983546257
0.003910901490598917,0.9914337992668152,0.1284073293209076,0.0003429999924264848,18,1519,
,,,,18,1519,0.007263412233442068
0.003906331490725279,0.9927043914794922,0.1297672837972641,0.00024009999469853938,19,1599,
,,,,19,1599,0.007260632235556841
0.003892655950039625,0.9933028221130371,0.136893630027771,0.00024009999469853938,20,1679,
,,,,20,1679,0.007119517307728529
0.0038880242500454187,0.9930157661437988,0.14063620567321777,0.00024009999469853938,21,1759,
,,,,21,1759,0.007139634341001511
0.0038823315408080816,0.9925487041473389,0.14420948922634125,0.00024009999469853938,22,1839,
,,,,22,1839,0.007185600697994232
0.0038807191886007786,0.9925733804702759,0.14886923134326935,0.00016806999337859452,23,1919,
,,,,23,1919,0.00718042254447937
0.003866905579343438,0.9932865500450134,0.1516796201467514,0.00016806999337859452,24,1999,
,,,,24,1999,0.00712376506999135
0.003868585219606757,0.9928194880485535,0.15554097294807434,0.00016806999337859452,25,2079,
,,,,25,2079,0.007171923760324717
0.0038681975565850735,0.9925159811973572,0.1598334014415741,0.00016806999337859452,26,2159,
,,,,26,2159,0.007171604782342911
0.0038612179923802614,0.9923029541969299,0.16353487968444824,0.00011764899682020769,27,2239,
,,,,27,2239,0.007202588487416506
0.0038499957881867886,0.9926799535751343,0.16647513210773468,0.00011764899682020769,28,2319,
,,,,28,2319,0.00713869696483016
0.003845106577500701,0.9923683404922485,0.17098580300807953,0.00011764899682020769,29,2399,
,,,,29,2399,0.0071394541300833225
