val_loss,eff,pur,current_lr,epoch,step,train_loss
0.009792383760213852,0.09262249618768692,0.001129580894485116,0.00012500002048909664,0,79,
,,,,0,79,0.0340837724506855
0.009899478405714035,0.10627356171607971,0.0012960690073668957,0.0002500000409781933,1,159,
,,,,1,159,0.010501120239496231
0.009938430972397327,0.11999385058879852,0.001463406952098012,0.00037499997415579855,2,239,
,,,,2,239,0.010234241373836994
0.009954951703548431,0.1330428272485733,0.0016225478611886501,0.00034999995841644704,3,319,
,,,,3,319,0.010128908790647984
0.009962666779756546,0.14671048521995544,0.0017892359755933285,0.0006249999860301614,4,399,
,,,,4,399,0.010079856961965561
0.009966516867280006,0.15968593955039978,0.00194747734349221,0.0007499999483115971,5,479,
,,,,5,479,0.010053700767457485
0.009968395344913006,0.17230883240699768,0.0021014201920479536,0.0008750000852160156,6,559,
,,,,6,559,0.010038318112492561
0.009969186969101429,0.18455064296722412,0.0022507146932184696,0.0006999999168328941,7,639,
,,,,7,639,0.010028575547039509
0.009969272650778294,0.1926572173833847,0.0023495780769735575,0.0006999999168328941,8,719,
,,,,8,719,0.010023025795817375
0.009969213046133518,0.1999521106481552,0.0024385449942201376,0.0006999999168328941,9,799,
,,,,9,799,0.010019836015999317
0.009969043545424938,0.2067434936761856,0.0025213640183210373,0.0006999999168328941,10,879,
,,,,10,879,0.01001737266778946
0.009968772530555725,0.21335390210151672,0.0026019844226539135,0.0004900000640191138,11,959,
,,,,11,959,0.010015402920544147
0.009968526661396027,0.2179771363735199,0.002658363664522767,0.0004900000640191138,12,1039,
,,,,12,1039,0.010014019906520844
0.009968305937945843,0.22210420668125153,0.0027086948975920677,0.0004900000640191138,13,1119,
,,,,13,1119,0.010013043880462646
0.009967987425625324,0.22678063809871674,0.002765723504126072,0.0004900000640191138,14,1199,
,,,,14,1199,0.010012183338403702
0.009967684745788574,0.2311161905527115,0.002818603999912739,0.0003429999924264848,15,1279,
,,,,15,1279,0.010011417791247368
0.009967414662241936,0.23450978100299835,0.002859988482668996,0.0003429999924264848,16,1359,
,,,,16,1359,0.010010830126702785
0.00996722374111414,0.23718594014644623,0.002892626216635108,0.0003429999924264848,17,1439,
,,,,17,1439,0.01001038309186697
0.009966988116502762,0.24015727639198303,0.0029288630466908216,0.0003429999924264848,18,1519,
,,,,18,1519,0.01000996958464384
0.009966777637600899,0.24284154176712036,0.002961600897833705,0.00024009999469853938,19,1599,
,,,,19,1599,0.0100095821544528
0.009966582991182804,0.24508729577064514,0.0029889908619225025,0.00024009999469853938,20,1679,
,,,,20,1679,0.010009272024035454
0.009966449812054634,0.24679647386074066,0.003009833162650466,0.00024009999469853938,21,1759,
,,,,21,1759,0.010009034536778927
0.009966227225959301,0.24920623004436493,0.0030392222106456757,0.00024009999469853938,22,1839,
,,,,22,1839,0.010008802637457848
0.009966040030121803,0.2513047456741333,0.0030648126266896725,0.00016806999337859452,23,1919,
,,,,23,1919,0.010008583776652813
0.00996600091457367,0.25200536847114563,0.003073359839618206,0.00016806999337859452,24,1999,
,,,,24,1999,0.010008403100073338
0.009965798817574978,0.2540425658226013,0.0030982003081589937,0.00016806999337859452,25,2079,
,,,,25,2079,0.010008255019783974
0.009965704753994942,0.25517764687538147,0.0031120451167225838,0.00016806999337859452,26,2159,
,,,,26,2159,0.010008113458752632
0.009965602308511734,0.2563662528991699,0.0031265397556126118,0.00011764899682020769,27,2239,
,,,,27,2239,0.01000798400491476
0.009965464472770691,0.2577517628669739,0.0031434334814548492,0.00011764899682020769,28,2319,
,,,,28,2319,0.010007867589592934
0.00996543001383543,0.2582639157772064,0.0031496810261160135,0.00011764899682020769,29,2399,
,,,,29,2399,0.010007773526012897
