val_loss,eff,pur,current_lr,epoch,step,train_loss
0.009805471636354923,0.7537223100662231,0.009191889315843582,0.00012500002048909664,0,79,
,,,,0,79,0.016596145927906036
0.009798109531402588,0.8623546957969666,0.01051664724946022,0.0002500000409781933,1,159,
,,,,1,159,0.009991864673793316
0.00975005328655243,0.9186086058616638,0.011202643625438213,0.00037499997415579855,2,239,
,,,,2,239,0.009926585480570793
0.0097018051892519,0.9452335238456726,0.01152732316404581,0.00034999995841644704,3,319,
,,,,3,319,0.009866004809737206
0.009638267569243908,0.9597914814949036,0.011704855598509312,0.0006249999860301614,4,399,
,,,,4,399,0.009819407016038895
0.00956365279853344,0.9722431898117065,0.011856700293719769,0.0007499999483115971,5,479,
,,,,5,479,0.00977820809930563
0.009460917674005032,0.9780837297439575,0.011927923187613487,0.0008750000852160156,6,559,
,,,,6,559,0.00973802711814642
0.009236175566911697,0.9790431261062622,0.01193968579173088,0.0006999999168328941,7,639,
,,,,7,639,0.009691509418189526
0.008802464231848717,0.97479248046875,0.01188997644931078,0.0006999999168328941,8,719,
,,,,8,719,0.009637398645281792
0.0069805169478058815,0.9788377285003662,0.012474382296204567,0.0006999999168328941,9,799,
,,,,9,799,0.009578699246048927
0.004281569272279739,0.9662286043167114,0.02676180750131607,0.0006999999168328941,10,879,
,,,,10,879,0.009507172740995884
0.0061392528004944324,0.9949666261672974,0.013156920671463013,0.0004900000640191138,11,959,
,,,,11,959,0.00967769417911768
0.003968401346355677,0.9711470603942871,0.07254738360643387,0.0004900000640191138,12,1039,
,,,,12,1039,0.008791111409664154
0.003976741805672646,0.9452282190322876,0.08638793975114822,0.0004900000640191138,13,1119,
,,,,13,1119,0.008765152655541897
0.003942997194826603,0.9763427972793579,0.10974081605672836,0.0004900000640191138,14,1199,
,,,,14,1199,0.00840030238032341
0.0038874424062669277,0.9831215143203735,0.12972304224967957,0.0003429999924264848,15,1279,
,,,,15,1279,0.008395002223551273
0.0038836824242025614,0.9852778315544128,0.14061479270458221,0.0003429999924264848,16,1359,
,,,,16,1359,0.007793477736413479
0.003874900983646512,0.9774336814880371,0.14595283567905426,0.0003429999924264848,17,1439,
,,,,17,1439,0.007724905386567116
0.003877602983266115,0.9819504618644714,0.1484718918800354,0.0003429999924264848,18,1519,
,,,,18,1519,0.007771028205752373
0.003872003871947527,0.9798673391342163,0.1520579606294632,0.00024009999469853938,19,1599,
,,,,19,1599,0.0077652037143707275
