val_loss,eff,pur,current_lr,epoch,step,train_loss
0.006621017586439848,0.5095065832138062,0.008172262459993362,0.00012500002048909664,0,79,
,,,,0,79,0.1765400767326355
0.00881618820130825,0.575945258140564,0.0071924286894500256,0.0002500000409781933,1,159,
,,,,1,159,0.03602785989642143
0.009455772116780281,0.5793688297271729,0.007089880295097828,0.00037499997415579855,2,239,
,,,,2,239,0.014415930956602097
