val_loss,eff,pur,current_lr,epoch,step,train_loss
0.009985013864934444,0.01574540324509144,0.00019083231745753437,0.00012500002048909664,0,79,
,,,,0,79,0.015016209334135056
0.009988201782107353,0.013245366513729095,0.00016051714192144573,0.0002500000409781933,1,159,
,,,,1,159,0.011370424181222916
0.00999764259904623,0.007602241355925798,9.210545249516144e-05,0.00037499997415579855,2,239,
,,,,2,239,0.010044357739388943
0.009995178319513798,0.00826619379222393,0.00010015197767643258,0.00034999995841644704,3,319,
,,,,3,319,0.010005466639995575
0.00999828614294529,0.013823507353663445,0.00016750161012168974,0.0006249999860301614,4,399,
,,,,4,399,0.01007035281509161
0.009998032823204994,0.007659600581973791,9.280044469051063e-05,0.0007499999483115971,5,479,
,,,,5,479,0.01006319373846054
0.009996776469051838,0.007864502258598804,9.528496593702585e-05,0.0008750000852160156,6,559,
,,,,6,559,0.010004404932260513
0.009997984394431114,0.007659615483134985,9.280047379434109e-05,0.0006999999168328941,7,639,
,,,,7,639,0.010007429867982864
0.009996921755373478,0.007839947938919067,9.498674626229331e-05,0.0006999999168328941,8,719,
,,,,8,719,0.01000779215246439
0.00999806821346283,0.007593974936753511,9.200598287861794e-05,0.0006999999168328941,9,799,
,,,,9,799,0.010009249672293663
0.009997962042689323,0.008815262466669083,0.00010680840205168352,0.0006999999168328941,10,879,
,,,,10,879,0.010009153746068478
0.009997234679758549,0.007848228327929974,9.508540824754164e-05,0.0004900000640191138,11,959,
,,,,11,959,0.010008537210524082
0.009996766224503517,0.007872636429965496,9.538434824207798e-05,0.0004900000640191138,12,1039,
,,,,12,1039,0.010007296688854694
0.009998217225074768,0.007610465865582228,9.22044346225448e-05,0.0004900000640191138,13,1119,
,,,,13,1119,0.010009225457906723
0.009997284971177578,0.007692380808293819,9.319851960754022e-05,0.0004900000640191138,14,1199,
,,,,14,1199,0.010007997043430805
0.00999700278043747,0.0077580055221915245,9.399330156156793e-05,0.0003429999924264848,15,1279,
,,,,15,1279,0.010009757243096828
0.009996668435633183,0.008257930167019367,0.00010005283547798172,0.0003429999924264848,16,1359,
,,,,16,1359,0.010010113008320332
0.00999700278043747,0.007684206124395132,9.309967572335154e-05,0.0003429999924264848,17,1439,
,,,,17,1439,0.01000899262726307
0.009996919892728329,0.007847976870834827,9.508585935691372e-05,0.0003429999924264848,18,1519,
,,,,18,1519,0.010009096004068851
0.009995752014219761,0.008294758386909962,0.00010050061246147379,0.00024009999469853938,19,1599,
,,,,19,1599,0.010012201964855194
