val_loss,eff,pur,current_lr,epoch,step,train_loss
0.004620205610990524,0.6122254133224487,0.02995923161506653,0.00012500002048909664,0,79,
,,,,0,79,0.09552410244941711
0.004603041335940361,0.8367440700531006,0.037374336272478104,0.0002500000409781933,1,159,
,,,,1,159,0.023016855120658875
0.0041002691723406315,0.861185610294342,0.05427582189440727,0.00037499997415579855,2,239,
,,,,2,239,0.017259081825613976
0.004036345053464174,0.9025956392288208,0.07158610969781876,0.00034999995841644704,3,319,
,,,,3,319,0.01451221015304327
0.003978115972131491,0.9109969735145569,0.08528879284858704,0.0006249999860301614,4,399,
,,,,4,399,0.012664556503295898
0.003964108880609274,0.910709798336029,0.09840446710586548,0.0007499999483115971,5,479,
,,,,5,479,0.011530864983797073
0.003973422106355429,0.9011120200157166,0.1049933210015297,0.0008750000852160156,6,559,
,,,,6,559,0.011106202378869057
0.003951997961848974,0.9144234657287598,0.10968058556318283,0.0006999999168328941,7,639,
,,,,7,639,0.01063463557511568
0.003935738932341337,0.9415469169616699,0.11997756361961365,0.0006999999168328941,8,719,
,,,,8,719,0.009356866590678692
0.003931621555238962,0.9378259181976318,0.1231432557106018,0.0006999999168328941,9,799,
,,,,9,799,0.009214112535119057
0.003935492597520351,0.947925329208374,0.12333273887634277,0.0006999999168328941,10,879,
,,,,10,879,0.009132444858551025
0.003925839439034462,0.9586787819862366,0.12675434350967407,0.0004900000640191138,11,959,
,,,,11,959,0.009000607766211033
0.003926245030015707,0.9795304536819458,0.1269095540046692,0.0004900000640191138,12,1039,
,,,,12,1039,0.008383432403206825
0.003922046162188053,0.9814731478691101,0.1287895292043686,0.0004900000640191138,13,1119,
,,,,13,1119,0.008314913138747215
0.003920913673937321,0.9819980263710022,0.13024742901325226,0.0004900000640191138,14,1199,
,,,,14,1199,0.008264523930847645
0.003921690862625837,0.9808914661407471,0.13190694153308868,0.0003429999924264848,15,1279,
,,,,15,1279,0.00822893250733614
0.0039053703658282757,0.9676364064216614,0.1346585750579834,0.0003429999924264848,16,1359,
,,,,16,1359,0.008017491549253464
0.0039039989933371544,0.968816876411438,0.13638544082641602,0.0003429999924264848,17,1439,
,,,,17,1439,0.007984049618244171
0.0039024227298796177,0.9701282382011414,0.13748781383037567,0.0003429999924264848,18,1519,
,,,,18,1519,0.00796086061745882
0.003900981741026044,0.9698497653007507,0.13789531588554382,0.00024009999469853938,19,1599,
,,,,19,1599,0.0079391123726964
0.003895014524459839,0.9784323573112488,0.13913555443286896,0.00024009999469853938,20,1679,
,,,,20,1679,0.007816795259714127
0.0038924054242670536,0.9794897437095642,0.14001061022281647,0.00024009999469853938,21,1759,
,,,,21,1759,0.007839633151888847
0.003890735562890768,0.9798177480697632,0.14079022407531738,0.00024009999469853938,22,1839,
,,,,22,1839,0.007829022593796253
0.003889785148203373,0.9793751239776611,0.14147548377513885,0.00016806999337859452,23,1919,
,,,,23,1919,0.007817891426384449
0.003894706955179572,0.9678258895874023,0.1412271410226822,0.00016806999337859452,24,1999,
,,,,24,1999,0.007801232393831015
0.0038930235896259546,0.9706131219863892,0.14191606640815735,0.00016806999337859452,25,2079,
,,,,25,2079,0.007796341087669134
0.003892233595252037,0.9709737300872803,0.1422857940196991,0.00016806999337859452,26,2159,
,,,,26,2159,0.0077792746014893055
0.003892099717631936,0.9719655513763428,0.14266939461231232,0.00011764899682020769,27,2239,
,,,,27,2239,0.007764804642647505
0.003871142864227295,0.9830479025840759,0.14482294023036957,0.00011764899682020769,28,2319,
,,,,28,2319,0.007645460311323404
0.003870172891765833,0.9831216335296631,0.1451982706785202,0.00011764899682020769,29,2399,
,,,,29,2399,0.007626672275364399
